dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae,train_Si Particle Size (um)__r2,train_Si Particle Size (um)__rmse,train_Si Particle Size (um)__nrmse,train_Si Particle Size (um)__mae,test_Si Particle Size (um)__r2,test_Si Particle Size (um)__rmse,test_Si Particle Size (um)__nrmse,test_Si Particle Size (um)__mae,train_Hardness (HV)__r2,train_Hardness (HV)__rmse,train_Hardness (HV)__nrmse,train_Hardness (HV)__mae,test_Hardness (HV)__r2,test_Hardness (HV)__rmse,test_Hardness (HV)__nrmse,test_Hardness (HV)__mae,train_wear rate__r2,train_wear rate__rmse,train_wear rate__nrmse,train_wear rate__mae,test_wear rate__r2,test_wear rate__rmse,test_wear rate__nrmse,test_wear rate__mae,train_Ultimate Compression Strength (MPa)__r2,train_Ultimate Compression Strength (MPa)__rmse,train_Ultimate Compression Strength (MPa)__nrmse,train_Ultimate Compression Strength (MPa)__mae,test_Ultimate Compression Strength (MPa)__r2,test_Ultimate Compression Strength (MPa)__rmse,test_Ultimate Compression Strength (MPa)__nrmse,test_Ultimate Compression Strength (MPa)__mae,train_Elongation (%)__r2,train_Elongation (%)__rmse,train_Elongation (%)__nrmse,train_Elongation (%)__mae,test_Elongation (%)__r2,test_Elongation (%)__rmse,test_Elongation (%)__nrmse,test_Elongation (%)__mae
Dataset_0172,multi_output,ALL,lightgbm,123,3,0.982463683731386,0.9645162537180726,0.005247925641863391,0.47541440104395943,0.8934517921244041,4.303896351722285,0.024481776744722895,1.9701237708984423,0.9936937275420944,0.07348601398675884,0.02303636802092754,0.053518169695648134,0.9433102872709012,0.22916083637161394,0.05875918881323435,0.1171986116414333,0.9942515509696714,0.46328015192999045,0.019303339663749603,0.3710783731647461,0.9177451942126573,1.7817121903241135,0.08098691774200516,1.1852216590122384,0.9964966681721475,0.08552174125051498,0.015552235179217128,0.06691889702688573,0.9743113653965529,0.23065979115911245,0.03833468358968131,0.16077410127260322,0.9889800848543,1.9664245322208354,0.022865401537451573,1.3363723877521303,0.7920744858903854,9.314539547309973,0.13119069784943624,7.2059224939735484,0.9388963871187171,0.7465185301526936,0.051697959151848584,0.549184177580387,0.8398176278515233,1.6052274281567875,0.12443623474083626,1.1815019885923879
Dataset_0172,multi_output,ALL,lightgbm,123,4,0.9835615707228884,1.0700985989442668,0.0058220816047022134,0.552610204811277,0.8985163448355863,1.6730143510999924,0.010405612334245506,0.971561647292172,0.9945609832630758,0.06823616193189917,0.017496451777410046,0.05064689279429825,0.9903570827227326,0.09477156380013492,0.038214340241989886,0.07043680296727754,0.9924018146454152,0.5164256512759765,0.01986252504907602,0.38668759211413156,0.9387203883533125,1.7064970570975282,0.08126176462369182,1.3235292282496138,0.9969218890188233,0.07813321626023928,0.012985410713019657,0.0595457108259172,0.989237575012014,0.16301381142155164,0.037656228094606524,0.1263801486479652,0.9882958441327483,2.188537153862441,0.025448106440260944,1.6609731979877909,0.9433600051224823,3.105723122400495,0.06751572005218467,2.332015007456451,0.9456273225543798,0.8114208260218114,0.054311969613240384,0.6051976303342473,0.6309066729673894,1.1839263592038716,0.15217562457633313,1.0054470491395517
Dataset_0172,multi_output,ALL,lightgbm,7,0,0.9879574473082521,0.675572491533284,0.0036755848287991512,0.3898814091531885,0.9148825561129608,3.53723309712446,0.020268353753864658,1.6134844601821883,0.9925274545624833,0.07758554873182227,0.024245483978694464,0.056036584709627336,0.9551902271228979,0.21825137994606691,0.05713386909582904,0.11290995670575509,0.9889437305868827,0.6400060375464016,0.026666918231100067,0.4584439481080683,0.9651802309629297,1.1326351704387623,0.05148341683812556,0.8776814885920534,0.997098240546071,0.0774303417079425,0.013834257943173573,0.06244705611163789,0.9651060490661425,0.26366303461072343,0.047166911379378076,0.21516996344155295,0.995497327011519,1.2288241465141485,0.014288652866443588,0.947578771921821,0.873183864152696,7.684621313016857,0.11009486121800653,5.703700863151682,0.965720483834304,0.591911708146871,0.04099111552263649,0.42490068491478794,0.8157524092601376,1.4514375296605904,0.11251453718299151,1.1579600290198984
Dataset_0172,multi_output,ALL,lightgbm,7,1,0.9839606068826903,1.0150709815743306,0.005522693044474051,0.5256148735684374,0.9315430382319863,2.3879506828971557,0.013502689753447305,1.2375471537660157,0.9948596048064672,0.07181268141682116,0.018413508055595173,0.050716127145482626,0.9250112367044823,0.16312718723348404,0.07957423767487028,0.11513402177487113,0.98921840134103,0.6598330369449932,0.025378193728653582,0.5382715937650872,0.9593209204470984,1.04834775725308,0.0551761977501621,0.8263818493128184,0.9974950547774473,0.07692364515249966,0.012784385100963878,0.05901773204247813,0.9767745520448415,0.15458653303546757,0.03846392959329873,0.11323790169836188,0.9884270538315262,2.0500991533753887,0.023838362248551032,1.472811461238748,0.9290811894382971,5.075235576690909,0.07344769286093936,4.220514062155896,0.9498029196569808,0.7088617668212996,0.04861877687388887,0.507257453650391,0.8675272925252118,1.2664855566833992,0.09493894727761612,0.9124679338881305
Dataset_0172,multi_output,ALL,lightgbm,7,2,0.9825932700003988,1.098773150032171,0.006211267100238388,0.5513198066350482,0.9716166504169934,1.7797481297547355,0.00968438650390279,0.8943679068008361,0.9946097043039352,0.06826289607730396,0.017503306686488196,0.049950020739920525,0.9861173605921384,0.10826275361661335,0.03409850507609869,0.09090158768028712,0.9902270313821357,0.6026572079629716,0.02232063733196191,0.42582036340606044,0.9634388120422908,1.0979045434210968,0.05228116873433794,0.9240963802109506,0.9955696378214527,0.09567677774096997,0.015901076573204248,0.0770406909742365,0.983284016752341,0.18176851834737595,0.03916580873677568,0.12827894997914374,0.9843228097823964,2.2664621484700893,0.029782682634298153,1.6565134704257536,0.9718248192131729,3.7465570846691634,0.043564617263594924,2.7491601903762892,0.9482371667120731,0.7229466969431166,0.04839000648882976,0.5472744876292701,0.9534182434850236,0.7420727953477039,0.05385143652740958,0.5794024257575104
Dataset_0172,multi_output,ALL,lightgbm,7,3,0.9846981192256268,0.9758950789787888,0.005309548851897654,0.5198507269802166,0.8948176298887581,2.675660535494073,0.016025277965406363,1.32315706603339,0.9931051956803858,0.07659628669779919,0.019640073512256207,0.050648357817178934,0.9700178258590645,0.1608665372842185,0.05664314693106285,0.13823684702406253,0.9881657289495719,0.6823633084414815,0.025272715127462278,0.4981289157688106,0.9172874691462433,1.3560130166556095,0.07976547156797703,1.1023965923599934,0.9962490581737927,0.09022816146236988,0.014995539548341345,0.06894621162150708,0.9851400324775191,0.14930395057401036,0.03830270666341979,0.12687298826303822,0.9902070394378589,1.9455689963503529,0.02262289530639945,1.448278549035112,0.8640059406903752,5.653748450950403,0.0852430976396593,4.338844349483721,0.9557635738865241,0.7049748288778741,0.04718707020601567,0.5332516006584748,0.737636881270588,1.3942682473483365,0.164031558511569,0.9094345530361341
Dataset_0172,multi_output,ALL,lightgbm,7,4,0.9885077738893544,1.1180846885930766,0.006083986878482256,0.4918010899705306,0.8805170659008356,3.2466995897327076,0.01846814328630664,1.6102720463560032,0.9978520855030372,0.04192513547199782,0.010819389799225245,0.030212297029495166,0.9884801486430639,0.10980399540386389,0.03921571264423711,0.07655743414893641,0.9957921504567384,0.3727963618378081,0.01380727266065956,0.30463192659954613,0.9252092607709038,1.9596847263725956,0.08709709894989313,1.49382508160077,0.9964585801980281,0.07810277288886526,0.01319526489083718,0.05785170538486417,0.9936291793587502,0.14589757344015314,0.026067102633581047,0.11206882374752844,0.9857415077089362,2.396449496724123,0.027865691822373525,1.6313776332827785,0.7609183500602665,6.828441548499487,0.12021904134682197,5.30070041577777,0.9666945455800321,0.6006344782522057,0.04020311099412354,0.4349318875559694,0.7343483906711941,1.4845773480887332,0.13255154893649404,1.06820847650501
Dataset_0172,multi_output,ALL,lightgbm,2024,0,0.9875939738329178,0.9035949592359229,0.004916185850032224,0.47029171526210634,0.8815221828639721,3.0199751958531666,0.017073582066107908,1.258760024076668,0.9974045539608186,0.04683882296513882,0.012009954606445852,0.033873750186028,0.9795582404564205,0.13990749368223854,0.05422771072954983,0.10722111287930576,0.9896701196223311,0.6241165306948128,0.02311542706277084,0.42308186777692375,0.9487424854391651,1.3795414320888826,0.06131295253728367,0.9882073830786359,0.9965042135142358,0.08187631811534671,0.013607498440310239,0.060231625906017654,0.9782639553616678,0.24268081455912824,0.04510795809649224,0.17659497364504098,0.9918779116053786,1.818551316038602,0.02114594553533258,1.400434527769538,0.7942908737657742,6.342850649230454,0.10213930191997511,3.530605405259708,0.9625130704618252,0.6138984541646125,0.04210551811828619,0.4338368046720244,0.7067553592968334,1.8406232401024676,0.12746698338659745,1.4911712455206494
Dataset_0172,multi_output,ALL,lightgbm,2024,1,0.9847047526766441,1.057276910055943,0.005976692538473391,0.5363850592998816,0.9619266689036408,1.7719371018540795,0.009641096370064092,0.9412018573633949,0.9953163839733618,0.06679954999348561,0.01712808974191939,0.04756706142570668,0.9837286520692078,0.09310093018484827,0.03738993180114388,0.0712038226008322,0.990545301616841,0.6128929406451007,0.022699738542411137,0.4707885702458782,0.9731796018836942,0.8642350345003934,0.04454819765465944,0.6622300325492328,0.9971911129526195,0.07947965718782941,0.01320918351135606,0.05749436283168884,0.995458401391786,0.08121069514096271,0.019423749136800457,0.06554164804574837,0.9843574264509922,2.187589895507938,0.027656003735877854,1.607890798637072,0.977218408258942,3.6369057303187287,0.04381814132914131,2.914191972069859,0.9561135383894058,0.6459147151754281,0.04323391667840884,0.49818450335906184,0.8800482809145739,1.3075002938223406,0.10151399796757303,0.9928418115513024
Dataset_0172,multi_output,ALL,lightgbm,2024,2,0.9845047306003826,1.1215867925663736,0.006102213234855133,0.5543260595185934,0.9179470759613592,2.0734480802606776,0.012410283287509668,1.150249172895204,0.9947004159516099,0.0650450076290962,0.016678207084383643,0.041917502028645776,0.9899359129995172,0.10735819797789592,0.03408196761203045,0.07239537617405087,0.9899553196916935,0.5993754456984791,0.022199090581425152,0.4190299890130172,0.923664246469586,1.8493035301079972,0.08806207286228558,1.545280885333751,0.9976562911411627,0.06859465120153718,0.01140014146610224,0.05460978826036087,0.9821138779972803,0.20689706872399594,0.04618238141160623,0.1724199772788806,0.9848250640610635,2.3352729662827563,0.027154336817241352,1.7184008335485188,0.9588873948270074,3.9040634448455376,0.06471717272847971,2.8694377546418974,0.9553865621563837,0.6841767572406888,0.045794963670728835,0.5376721847424241,0.7351339475134046,1.6673234839450626,0.1667323483945063,1.09171187104744
Dataset_0172,multi_output,ALL,lightgbm,2024,3,0.9852803565389079,1.1727010248273733,0.006380657406971943,0.5587532056021619,0.9327468118541088,2.473297361569159,0.014548808009230347,1.2606848734682259,0.9966982153922987,0.05507432892180234,0.014157925172699832,0.037174394621197086,0.9830318214909118,0.10056190510970425,0.03591496611060866,0.07277674287827274,0.9959795367852072,0.38316038200239955,0.014736937769323059,0.3228898611410356,0.8963541759365897,1.970033945446408,0.09162948583471665,1.5685434829275866,0.9975572304656699,0.07157765453113858,0.012340974919161824,0.05762641207158813,0.9908319287698211,0.12831131181297925,0.02853264661173654,0.1103943625212817,0.9833045404991168,2.4866929965107385,0.02996015658446673,1.7962742236351368,0.919740810635402,5.097117148621084,0.07059719042411475,3.8531034055541693,0.9528622595522469,0.7331630027420316,0.04907382883146128,0.5798011365418521,0.8737753224378191,0.8353356997327993,0.08205655203662075,0.6986063734598192
Dataset_0172,multi_output,ALL,lightgbm,2024,4,0.9824172059919041,1.0608596809746054,0.0057718154568803335,0.5630056383419921,0.923923462624338,3.0328974578399364,0.017383489756634014,1.4319127205710331,0.994264171105917,0.06905197190202045,0.021578741219381394,0.05294291503378572,0.9355254237300535,0.2539467492779526,0.06735988044508026,0.15571708178018304,0.9865651671020502,0.7100492311705079,0.029585384632104497,0.5281024517154304,0.9509620776467832,1.1684897844385311,0.053113172019933236,0.8407907298354595,0.9965967422440465,0.08517736155661472,0.015218395847170755,0.06534775658069492,0.9716023124281395,0.22267926859705064,0.04193583212750483,0.1589019568435291,0.9878914906639794,2.1284537480471855,0.02474946218659518,1.6055867814514808,0.8599801352348764,6.606917911812053,0.10993207839953498,5.2999941688053545,0.9467684588435276,0.7619761725805236,0.05276843300419138,0.5630482869285693,0.9015473640818377,0.9281849336031311,0.07195232043435126,0.7041596655906399
Dataset_0172,multi_output,ALL,lightgbm,99,0,0.982700814611067,1.0286580760177066,0.005596616300422778,0.5427199921540347,0.9302805237495815,2.6250007662069748,0.015041260406870127,1.384592754274325,0.996240974649754,0.057833479386063195,0.014829097278477744,0.03875202150925194,0.9865698846910544,0.10284784001683393,0.04081263492731506,0.07466680095984678,0.9889230074544887,0.6672542054585203,0.024713118720685937,0.4900097044403839,0.9677985360188408,0.9261740335747195,0.04517922114998632,0.7447451302852727,0.9962045443931821,0.08817843722363673,0.014654884032513998,0.06009742299170451,0.9773446442855627,0.22329315698523655,0.04188579196871817,0.15943239972092307,0.9886569575172767,2.0494157304793537,0.023830415470690158,1.5524779744948185,0.8974977659106217,5.686934563286928,0.07705873391987707,4.995382004079476,0.9434785890406328,0.7963881136825468,0.05330576396804195,0.5722628373340146,0.8221917878418274,1.0925587092728297,0.12853631873797997,0.9487374363261076
Dataset_0172,multi_output,ALL,lightgbm,99,1,0.9864678936222513,1.0083497757661766,0.005486423503815096,0.46987861480018334,0.918790903179825,2.2764631063480567,0.012868643902476296,1.1936364871409686,0.9947897351951612,0.06966038545211146,0.017907554100799864,0.04619430653382594,0.9767590175813985,0.11978092209970663,0.04791236883988265,0.09247013438313516,0.9959958209770519,0.39213819945543593,0.014523637016867997,0.3140462251172966,0.8668308578884699,1.9945826772419766,0.12162089495377902,1.4473252989791017,0.9966369924025672,0.08441047656760164,0.014260935389018695,0.062449432698718374,0.9875767661595913,0.15343224062277583,0.03450241525135503,0.12228878981610905,0.9869238673243587,2.121244135372745,0.02466562948107843,1.427190207744057,0.9530268207766326,4.441171529308714,0.06335480070340534,3.378981875934423,0.9579930522121177,0.6468536188793965,0.0443658174814401,0.4995129019070187,0.8097610534930331,1.473488324338396,0.1049493108503131,0.9271163365920739
Dataset_0172,multi_output,ALL,lightgbm,99,2,0.9837625268197353,0.8979836990181109,0.004885656686714423,0.49233776103853877,0.953696052688208,2.829206042412005,0.016655124756649233,1.2488036465564796,0.9954494058362633,0.06300123777700399,0.016154163532565127,0.04324346400121941,0.9792264879919007,0.1331622906794533,0.04639801068970498,0.10826391452723784,0.9888710242847034,0.6644491163768813,0.024609226532477085,0.4554113111388632,0.9567552535030396,1.0994458265596128,0.0666330803975523,0.9314955504717324,0.9981531891127005,0.06353398450627631,0.010559080024310505,0.05180498659688586,0.9834435985003315,0.162019623464473,0.03971069202560613,0.1248115912319289,0.9910016050999878,1.7564672914000183,0.021162256522891786,1.3905998310058105,0.9163248888015333,6.138355807512212,0.08501877849739908,4.22161392297798,0.9453374097650218,0.7051226285905405,0.04719696309173631,0.520629212449915,0.9327300346442353,1.043962859922793,0.08627792230766886,0.8578332535735179
Dataset_0172,multi_output,ALL,lightgbm,99,3,0.9839894707255583,1.1232957633027851,0.006349891256657914,0.5502414024296745,0.9136334152007166,2.2465594765591814,0.012229501777676547,1.261902163091737,0.9934944219987848,0.07125177219790937,0.02226617881184668,0.05236813499001396,0.9459650896322243,0.2518070081075857,0.0662650021335752,0.15126905874755203,0.9875375355345595,0.6781772960073079,0.02825738733363783,0.4666037980858395,0.9398946714020799,1.4585264168299017,0.05834105667319607,1.166742061820025,0.9964506250691325,0.0846671594212709,0.015127239489239037,0.06905304303954171,0.981824298518421,0.2018260733254023,0.036562694443007665,0.12956579270614085,0.9847759373807168,2.3245376972498564,0.029387328663082888,1.6950631600415509,0.9478210380777347,4.534820257903454,0.06870939784702203,3.7537201506067186,0.9576888336445981,0.6582716502999918,0.04558667938365594,0.4681188759914261,0.7526619783731229,1.5617659220577995,0.10711700425636486,1.1082137515782495
Dataset_0172,multi_output,ALL,lightgbm,99,4,0.9861963810913362,1.188308581424967,0.006465226231909505,0.5723393229175817,0.8771475381412749,2.686126655779439,0.016073522160066057,1.3051378150392703,0.9935744912008639,0.07479958190499067,0.019179379975638636,0.04769673894336939,0.9873287320437946,0.09863900088185333,0.030921316890863113,0.07163969780490442,0.9917009355982312,0.5160185661561012,0.020640742646244048,0.4020690656438188,0.9455634518039755,1.7452985942310781,0.07272077475962825,1.3843461179401138,0.996342480638991,0.08604845478059259,0.014300889941929962,0.06810798972681237,0.9905010358760248,0.14040291908060387,0.02919586589324264,0.12328350793574565,0.9841554820037383,2.524347015633532,0.02935287227480851,1.843233791288313,0.8073529852936745,5.593803309166259,0.14224547512183752,3.9603977456348605,0.9652085160148566,0.6393622552685471,0.04279533167794826,0.5005890289855949,0.6549914856889051,1.3077602141059603,0.17672435325756225,0.9860220058807264
